N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
59,아모레G,"64,100",500,+0.79%,500,"52,856","82,458",20.09,"306,594",226.50,4.12,
60,유한양행,"72,400",800,-1.09%,"1,000","50,660","69,973",20.26,"517,578",27.89,2.43,
61,두산중공업,"13,400",50,+0.37%,"5,000","50,201","374,637",10.84,"2,614,402",-2.89,-14.73,
62,녹십자,"425,000","18,500",+4.55%,"5,000","49,668","11,687",20.49,"382,484",114.00,-0.35,
63,현대건설,"44,400",400,-0.89%,"5,000","49,442","111,356",19.01,"1,778,794",21.65,6.30,
64,이마트,"174,000","1,500",-0.85%,"5,000","48,504","27,876",31.76,"304,913",8.68,2.76,
65,한국금융지주,"86,800",600,-0.69%,"5,000","48,370","55,726",30.53,"403,703",7.94,18.14,
66,SK케미칼,"410,500","8,500",-2.03%,"5,000","48,198","11,741",20.82,"378,826",18.73,1.51,
67,오리온,"121,500","1,000",+0.83%,500,"48,036","39,536",41.87,"144,413",17.55,14.24,
68,HMM,"14,700",250,-1.67%,"5,000","48,029","326,726",7.56,"3,060,193",-47.42,-55.46,
69,LG이노텍,"200,000","5,500",-2.68%,"5,000","47,334","23,667",32.59,"494,086",36.26,4.73,
70,SKC,"121,500","3,000",+2.53%,"5,000","46,010","37,868",8.13,"898,398",53.93,3.86,
71,한미약품,"362,000","6,500",-1.76%,"2,500","43,723","12,078",13.69,"51,082","-3,514.56",7.30,
72,현대차2우B,"117,500","4,500",-3.69%,"5,000","42,870","36,485",61.01,"205,223",28.08,N/A,
73,삼성중공업,"6,770",90,-1.31%,"5,000","42,651","630,000",14.97,"4,212,429",-3.41,-21.88,
74,한진칼,"64,000","1,000",-1.54%,"2,500","42,408","66,263",15.38,"121,503",-10.56,-17.56,
75,현대중공업지주,"266,000","4,500",-1.66%,"5,000","42,024","15,799",17.82,"59,363",-16.11,2.20,
76,두산퓨얼셀,"62,500","6,200",+11.01%,100,"40,934","65,494",18.57,"12,896,953",183.28,N/A,
77,맥쿼리인프라,"10,550",50,+0.48%,0,"39,266","372,192",13.72,"606,397",N/A,N/A,
